case_number,report_date,report_month_year,occur_date,occur_time,address,neighborhood,council_district,custom_crime_against,custom_crime_category,crime_against,offense_category,offense_type,offense_count,lat,lon,x_coord,y_coord,data_year
26-96616,4/4/2026,April 2026,4/4/2026,1700,300 BLOCK OF SE 146TH AVE,Hazelwood,1,Person,Assault: Simple/Intimidation,Person,Assault Offenses,Intimidation,1,45.520209826,-122.513319313,7686119,682185,2026
26-96643,4/4/2026,April 2026,4/4/2026,1733,N MARINE DR / N LEADBETTER RD,St Johns,2,Person,Assault: Simple/Intimidation,Person,Assault Offenses,Simple Assault,1,45.630107046,-122.744960287,7627881,723804,2026
26-96698,4/4/2026,April 2026,11/1/2025,0,11300 BLOCK OF SW 62ND AVE,Ashcreek,4,Property,Larceny: Car Prowl - Car Parts,Property,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,1,45.443862971,-122.741465181,7626891,655899,2026
26-9672,1/11/2026,January 2026,1/11/2026,355,7200 BLOCK OF SE MILWAUKIE AVE,Sellwood-Moreland,4,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.472110181,-122.648476579,7651022,665546,2026
26-96815,4/4/2026,April 2026,4/4/2026,2058,5700 BLOCK OF NE PRESCOTT ST,Cully,2,Person,Assault: Aggravated,Person,Assault Offenses,Aggravated Assault,1,45.555521981,-122.603857186,7663256,695647,2026
26-96839,4/4/2026,April 2026,4/4/2026,2110,10800 BLOCK OF N LOMBARD ST,St Johns,2,Person,Assault: Aggravated,Person,Assault Offenses,Aggravated Assault,1,45.605168160,-122.765491184,7622376,714861,2026
26-96868,4/4/2026,April 2026,4/4/2026,2145,1200 BLOCK OF NE 102ND AVE,Hazelwood,1,Property,Robbery,Property,Robbery,Robbery,1,45.531676268,-122.558011742,7674774,686653,2026
26-96881,4/4/2026,April 2026,4/4/2026,2200,6900 BLOCK OF NE SANDY BLVD,Roseway,3,Property,Robbery,Property,Robbery,Robbery,1,45.547284637,-122.591740110,7666281,692564,2026
26-96899,4/4/2026,April 2026,4/4/2026,2246,N RUSSET ST / N HURST AVE,Portsmouth,2,Person,Assault: Aggravated,Person,Assault Offenses,Aggravated Assault,1,45.578224456,-122.708958906,7636570,704640,2026
26-9690,1/11/2026,January 2026,1/11/2026,440,1400 BLOCK OF SW CUSTER DR,Hillsdale,4,Property,Larceny: Car Prowl - Other,Property,Larceny Offenses,Theft From Motor Vehicle,1,45.470216269,-122.693779564,7639386,665168,2026
26-96950,4/4/2026,April 2026,4/4/2026,2351,NE BROADWAY / NE 33RD AVE,Grant Park,2,Society,Weapon Law Violations,Society,Weapon Law Violations,Weapons Law Violations,1,45.535159095,-122.630663965,7656196,688405,2026
26-97006,4/5/2026,April 2026,4/5/2026,101,400 BLOCK OF NE 147TH AVE,Hazelwood,1,Property,Vandalism,Property,Vandalism,Vandalism,1,45.526025747,-122.511773041,7686568,684295,2026
26-97047,4/5/2026,April 2026,4/5/2026,220,1200 BLOCK OF SE EASTBANK ESPLANADE,Buckman West,3,Property,Vandalism,Property,Vandalism,Vandalism,1,45.514036413,-122.668033787,7646417,680961,2026
26-97051,4/5/2026,April 2026,4/4/2026,1600,8300 BLOCK OF NE SANDY BLVD,Madison South,3,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.552914713,-122.577350478,7670019,694521,2026
26-97076,4/5/2026,April 2026,4/5/2026,139,0 BLOCK OF NW 2ND AVE,Old Town/Chinatown,4,Person,Assault: Simple/Intimidation,Person,Assault Offenses,Simple Assault,1,45.523490129,-122.672442351,7645380,684437,2026
