registry_number,business_name,entity_type,registry_date,nonprofit_type,address_type,address,address_continued,city,state,zip_code
417618,THE PINE GROVE CEMETERY ASSOCIATION,DOMESTIC NONPROFIT CORPORATION,1885-05-26,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,30383 PEORIA RD,,SHEDD,OR,97377
475319,ST. HELENS LODGE A. F. & A. M.,DOMESTIC NONPROFIT CORPORATION,1885-09-19,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,315 NORTH 18TH ST,,SAINT HELENS,OR,97051
53512,THE BOYS AND GIRLS AID SOCIETY OF OREGON,DOMESTIC NONPROFIT CORPORATION,1885-10-01,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,9320 SW BARBUR BLVD SUITE 200,,PORTLAND,OR,97219
220913,"THE GREENWOOD CEMETERY OF LANE COUNTY, OREGON",DOMESTIC NONPROFIT CORPORATION,1886-01-26,PUBLIC BENEFIT,MAILING ADDRESS,42916 LEABURG DR,,LEABURG,OR,97489
104513,"COTTAGE GROVE LODGE NO. 51, ANCIENT FREE AND ACCEPTED MASONS",DOMESTIC NONPROFIT CORPORATION,1886-02-26,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,33322 ROW RIVER RD,,COTTAGE GROVE,OR,97424
227512,GOLDEN RULE LODGE NO. 78 OF THE INDEPENDENT ORDER OF ODD FELLOWS,DOMESTIC NONPROFIT CORPORATION,1886-03-11,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,JAMES SIMPSON 101 SE H ST,,GRANTS PASS,OR,97526
237214,HEPPNER METHODIST CHURCH,DOMESTIC NONPROFIT CORPORATION,1886-04-24,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,64598 SANDHOLLOW RD,,HEPPNER,OR,97836
187310,FIRST PRESBYTERIAN CHURCH OF LA GRANDE UNION CO. OR.,DOMESTIC NONPROFIT CORPORATION,1886-05-15,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,1308 WASHINGTON,,LA GRANDE,OR,97850
141010,THE DORA CEMETERY ASSOCIATION,DOMESTIC NONPROFIT CORPORATION,1886-06-30,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,ATTN: PATRICIA KEWSON,1811 STONE HEDGE DR NE,KEIZER,OR,97303
417816,PRINEVILLE LODGE NO. 76 OF ANCIENT FREE AND ACCEPTED MASONS,DOMESTIC NONPROFIT CORPORATION,1886-07-21,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,PO BOX 306,,PRINEVILLE,OR,97754
