record_id,record_source,accident_date,accident_date_raw,accident_time,aircraft_type,owner_operator,registration,msn,year_of_manufacture,engine_model,fatalities,occupants,other_fatalities,aircraft_damage,category,location,phase,nature,departure_airport,destination_airport,investigating_agency,confidence_rating,url,data_year
299313,wikibase,2000-02-15,Tuesday 15 February 2000,18:25 LT,Beechcraft 1900D,Astral Aviation,N81SK,,,P&W PT6A-67D,0,9,0,Substantial,Accident,"ESCANABA, Michigan -United States of America",Unknown,Unknown,"TRAVERSE CITY  , MI (KTVC)",(KESC),NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/299313,2000
299359,wikibase,2000-01-28,Friday 28 January 2000,21:30 LT,Fairchild SA227-AT Expediter,Ameriflight,N245DH,AT-624-B,1985,Garrett TPE331,0,2,0,Substantial,Accident,"FAYETTEVILLE, Arkansas -United States of America",Unknown,Unknown,"TULSA          , OK (KTUL)",(KFYV),NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/299359,2000
299376,wikibase,2000-01-19,Wednesday 19 January 2000,23:07 LT,Cessna 208B,"Planemasters, Ltd.",N9457B,208B0074,1988,P&W PT6-A-114,0,1,0,Substantial,Accident,"Warsaw, IN -United States of America",Unknown,Unknown,(KASW),"JEFFERSONVILLE , IN (KJVY)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/299376,2000
299408,wikibase,2000-01-01,Saturday 1 January 2000,13:00 LT,Cessna 550 Citation II,US Customs Service,N752CC,550-0018,,P&W JT15D-4,0,3,0,Substantial,Accident,"HOMESTEAD, Florida -United States of America",Unknown,Ferry/positioning,"MIAMI          , FL (KTMB)",(KHST),NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/299408,2000
301073,wikibase,2000-07-30,Sunday 30 July 2000,17:00 LT,Shorts 330-200,United States Forest Service,N179Z,SH-3109,,P&W PT6A-45R,0,4,0,Substantial,Accident,"Elk City, Idaho -United States of America",Unknown,Fire fighting,"MISSOULA, MT (KMSO)",,NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/301073,2000
305928,wikibase,2000-12-14,Thursday 14 December 2000,17:20,de Havilland Canada DHC-6 Twin Otter,Hewlett-Packard Company,N252SA,614,1979,Pratt & Whitney PT6-27,1,7,0,None,Accident,"near Sacramento, CA -United States of America",En route,Executive,"Sacramento Executive Airport, CA (KSAC)",,NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/305928,2000
309649,wikibase,2000-08-23,Wednesday 23 August 2000,13:57 LT,Boeing 757-223,American Airlines,N657AM,24615/409,1991,Rolls-Royce RB211,0,68,0,Minor,Accident,180 nm SE of Sabine Pass VORTAC [Gulf of Mexico] -Atlantic Ocean,En route,Passenger - Scheduled,"Dallas/Fort Worth International Airport, TX (DFW/KDFW)",SJU,NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/309649,2000
309650,wikibase,2000-06-13,Tuesday 13 June 2000,04:00 LT,Boeing 737-2A1,VASP - Viação Aérea São Paulo,PP-SMC,20094/182,1969,,0,,0,Substantial,Accident,"near Rio de Janeiro, RJ -Brazil",En route,Passenger,,,,,https://asn.flightsafety.org/wikibase/309650,2000
309652,wikibase,2000-03-20,Monday 20 March 2000,19:43 LT,Boeing 727-23,Aviandina Airlines,OB-1731,18432/43,1964,,0,,0,Substantial,Accident,Arequipa Airport (AQP) -Peru,Landing,Unknown,,AQP,,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/wikibase/309652,2000
309655,wikibase,2000-02-12,Saturday 12 February 2000,13:46 LT,Boeing 757-232,Delta Air Lines,N671DN,25332/416,1991,Pratt & Whitney PW2037RTC,0,161,0,Substantial,Accident,San Salvador -El Salvador,Unknown,Passenger - Scheduled,"Atlanta Hartsfield-Jackson International Airport, GA (ATL/KATL)",MSLP,,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/309655,2000
370519,wikibase,2000-12-30,Saturday 30 December 2000,00:34 LT,British Aerospace 4101 Jetstream 41,Atlantic Coast Airlines,N323UE,41059,1995,Garrett TPE33114GR807,0,18,0,Substantial,Accident,"Charlottesville, VA -United States of America",Landing,Unknown,"Washington-Dulles International Airport, DC (IAD/KIAD)","Charlottesville, VA (KCHO)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/370519,2000
370522,wikibase,2000-12-27,Wednesday 27 December 2000,18:17 LT,Boeing 767-3P6ER,Delta Air Lines,N155DL,25269/390,1991,GE CF6,0,80,0,None,Accident,"Boston-Logan International Airport, MA (BOS/KBOS) -United States of America",Taxi,Passenger - Scheduled,"Los Angeles International Airport, CA (LAX/KLAX)","Boston-Logan International Airport, MA (BOS/KBOS)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/370522,2000
370528,wikibase,2000-11-26,Sunday 26 November 2000,18:56 LT,Boeing 767-343ER,Alitalia,EI-CRL,30008/743,,,0,2,0,None,Accident,"Boston, MA -United States of America",Unknown,Unknown,Milan (LIMC),,NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/370528,2000
